# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.2760,-1.4400,0.6610,0.6610
-1.2760,-1.4280,0.6604,0.6604
-1.2760,-1.4160,0.6601,0.6601
-1.2760,-1.4040,0.6600,0.6600
-1.2760,-1.3920,0.6600,0.6600
-1.2760,-1.3800,0.6600,0.6600
-1.2760,-1.3680,0.6600,0.6600
-1.2760,-1.3560,0.6600,0.6600
-1.2760,-1.3440,0.6600,0.6600
-1.2760,-1.3320,0.6600,0.6600
-1.2760,-1.3200,0.6600,0.6600
-1.2760,-1.3080,0.6600,0.6600
-1.2760,-1.2960,0.6600,0.6600
-1.2760,-1.2840,0.6600,0.6600
-1.2760,-1.2720,0.6600,0.6600
-1.2760,-1.2600,0.6600,0.6600
-1.2760,-1.2480,0.6600,0.6600
-1.2760,-1.2360,0.6600,0.6600
-1.2760,-1.2240,0.6600,0.6600
-1.2760,-1.2120,0.6600,0.6600
-1.2760,-1.2000,0.6600,0.6600
-1.2760,-1.1880,0.6600,0.6600
-1.2760,-1.1760,0.6600,0.6600
-1.2760,-1.1640,0.6601,0.6601
-1.2760,-1.1520,0.6604,0.6604
-1.2760,-1.1400,0.6610,0.6610
-1.2760,-1.1280,0.6617,0.6617
-1.2760,-1.1160,0.6627,0.6627
-1.2760,-1.1040,0.6639,0.6639
-1.2760,-1.0920,0.6653,0.6653
-1.2760,-1.0800,0.6669,0.6669
-1.2760,-1.0680,0.6688,0.6688
-1.2760,-1.0560,0.6708,0.6708
-1.2760,-1.0440,0.6731,0.6731
-1.2760,-1.0320,0.6747,0.6747
-1.2760,-1.0200,0.6758,0.6758
-1.2880,-1.0080,0.6653,0.6653
-1.2880,-0.9960,0.6669,0.6669
-1.2880,-0.9840,0.6688,0.6688
-1.2880,-0.9720,0.6708,0.6708
-1.2880,-0.9600,0.6721,0.6721
-1.2880,-0.9480,0.6720,0.6720
-1.2880,-0.9360,0.6720,0.6720
-1.2880,-0.9240,0.6708,0.6708
-1.2880,-0.9120,0.6688,0.6688
-1.2880,-0.9000,0.6669,0.6669
-1.2880,-0.8880,0.6653,0.6653
-1.2880,-0.8760,0.6639,0.6639
-1.2880,-0.8640,0.6627,0.6627
-1.2880,-0.8520,0.6617,0.6617
-1.2880,-0.8400,0.6610,0.6610
-1.2880,-0.8280,0.6604,0.6604
-1.2880,-0.8160,0.6601,0.6601
-1.2880,-0.8040,0.6600,0.6600
-1.2880,-0.7920,0.6600,0.6600
-1.2880,-0.7800,0.6600,0.6600
-1.2880,-0.7680,0.6600,0.6600
-1.2880,-0.7560,0.6600,0.6600
-1.2880,-0.7440,0.6600,0.6600
-1.2880,-0.7320,0.6600,0.6600
-1.2880,-0.7200,0.6600,0.6600
-1.2880,-0.7080,0.6600,0.6600
-1.2880,-0.6960,0.6600,0.6600
-1.2880,-0.6840,0.6601,0.6601
-1.2880,-0.6720,0.6604,0.6604
-1.2880,-0.6600,0.6610,0.6610
-1.2760,-0.6480,0.6737,0.6737
-1.2760,-0.6360,0.6747,0.6747
-1.2760,-0.6240,0.6758,0.6758
-1.2760,-0.6120,0.6772,0.6772
-1.2760,-0.6000,0.6788,0.6788
-1.2760,-0.5880,0.6806,0.6806
-1.2640,-0.5760,0.6944,0.6944
-1.2640,-0.5640,0.6966,0.6966
-1.2640,-0.5520,0.6977,0.6977
-1.2640,-0.5400,0.6966,0.6966
-1.2640,-0.5280,0.6944,0.6944
-1.2640,-0.5160,0.6925,0.6925
-1.2640,-0.5040,0.6907,0.6907
-1.2520,-0.4920,0.7011,0.7011
-1.2520,-0.4800,0.6997,0.6997
-1.2520,-0.4680,0.6986,0.6986
-1.2520,-0.4560,0.6977,0.6977
-1.2520,-0.4440,0.6969,0.6969
-1.2520,-0.4320,0.6964,0.6964
-1.2520,-0.4200,0.6961,0.6961
-1.2520,-0.4080,0.6960,0.6960
-1.2520,-0.3960,0.6960,0.6960
-1.2400,-0.3840,0.7080,0.7080
-1.2400,-0.3720,0.7080,0.7080
-1.2280,-0.3600,0.7200,0.7200
-1.2280,-0.3480,0.7200,0.7200
-1.2160,-0.3360,0.7320,0.7320
-1.2040,-0.3240,0.7440,0.7440
-1.2040,-0.3120,0.7440,0.7440
-1.1920,-0.3000,0.7561,0.7561
-1.1800,-0.2880,0.7684,0.7684
-1.1680,-0.2760,0.7808,0.7808
-1.1560,-0.2640,0.7935,0.7935
-1.1440,-0.2520,0.8062,0.8062
-1.1320,-0.2400,0.8192,0.8192
-1.1200,-0.2280,0.8322,0.8322
-1.1080,-0.2160,0.8455,0.8455
